检查项目,实际结果,预期或判断标准,检查结论,说明
基金-季度键重复数,0,0,通过,每只基金每季度唯一
被动漂移公式最大误差,3.3306690738754696e-16,<=1e-12,通过,上期权重按本期股债收益漂移
主动切换贡献公式最大误差,0.0,<=1e-12,通过,主动调仓×下期股债收益差
阈值样本包含关系,2369/1786/955,3%>=5%>=10%,通过,阈值越高样本不得增加
正式公司门槛违反数,0,0,通过,30次、5只、30条收益和50%集中度
分级规则违反数,0,0,通过,A/B/C/观察池规则复算
三资产覆盖异常超额数,0,0,通过,80%-120%之外不计超额
Wilson区间越界数,0,0,通过,区间必须在0到1之间
bootstrap重复运行最大差异,0.0,0,通过,固定随机种子需可复现
年化收益季度数超过13的基金数,0,0,通过,统一收益可比季度最多13个
正式年化基金少于8季度的数量,0,0,通过,正式年化至少8个统一收益可比季度
正式贡献基金少于8漂移季度的数量,0,0,通过,正式贡献至少8个漂移可比较季度
统一收益可比季度中收益小于等于-100%的基金数,0,0,通过,几何年化输入必须大于-100%
漂移可比季度中贡献小于等于-100%的基金数,0,0,通过,几何贡献输入必须大于-100%
小于5%可比调仓未归零的数量,0,0,通过,5%以内可比调仓的连续贡献为0
基金与基准统一季度集合违反数,0,0,通过,基金和四类基准使用同一季度集合
公司有效基金数汇总差异,0,0,通过,公司正式年化基金数与基金明细一致
