报告期,基金主代码,基金名称,基金管理人简称,投资风格,fund_nav_yuan,next_quarter_return,csi300_next_quarter_return,bond_next_quarter_return,three_asset_benchmark_return,three_asset_coverage_status,loo_peer_median_return,drift_adjusted_comparable,drift_adjusted_stock_rebalance,stock_bond_relative_return_spread
2024Q1,DEMO001,模拟平衡基金A,示例公司A,平衡型,100,0.020,0.015,0.006,0.012,可用,0.017,True,0.060,0.030
2024Q2,DEMO001,模拟平衡基金A,示例公司A,平衡型,103,0.015,-0.010,0.008,-0.002,可用,0.012,True,-0.070,-0.018
2024Q3,DEMO001,模拟平衡基金A,示例公司A,平衡型,105,-0.010,-0.025,0.007,-0.012,可用,-0.008,True,0.040,-0.032
2024Q4,DEMO001,模拟平衡基金A,示例公司A,平衡型,106,0.030,0.040,0.005,0.026,可用,0.025,True,0.080,0.035
2025Q1,DEMO001,模拟平衡基金A,示例公司A,平衡型,110,0.012,0.005,0.006,0.006,可用,0.010,True,-0.055,-0.001
2025Q2,DEMO001,模拟平衡基金A,示例公司A,平衡型,112,0.025,0.030,0.004,0.020,可用,0.021,True,0.065,0.026
2025Q3,DEMO001,模拟平衡基金A,示例公司A,平衡型,115,-0.005,-0.015,0.008,-0.006,可用,-0.003,True,-0.060,-0.023
2025Q4,DEMO001,模拟平衡基金A,示例公司A,平衡型,117,0.018,0.020,0.005,0.014,可用,0.016,True,0.050,0.015
2024Q1,DEMO002,模拟稳健基金B,示例公司B,稳健型,90,0.012,0.015,0.006,0.010,可用,0.014,True,-0.060,0.030
2024Q2,DEMO002,模拟稳健基金B,示例公司B,稳健型,92,0.010,-0.010,0.008,0.001,可用,0.009,True,0.070,-0.018
2024Q3,DEMO002,模拟稳健基金B,示例公司B,稳健型,93,0.006,-0.025,0.007,-0.004,可用,0.004,True,-0.040,-0.032
2024Q4,DEMO002,模拟稳健基金B,示例公司B,稳健型,95,0.018,0.040,0.005,0.019,可用,0.017,True,-0.080,0.035
2025Q1,DEMO002,模拟稳健基金B,示例公司B,稳健型,97,0.009,0.005,0.006,0.006,可用,0.008,True,0.055,-0.001
2025Q2,DEMO002,模拟稳健基金B,示例公司B,稳健型,99,0.015,0.030,0.004,0.015,可用,0.014,True,-0.065,0.026
2025Q3,DEMO002,模拟稳健基金B,示例公司B,稳健型,100,0.004,-0.015,0.008,0.000,可用,0.003,True,0.060,-0.023
2025Q4,DEMO002,模拟稳健基金B,示例公司B,稳健型,102,0.011,0.020,0.005,0.011,可用,0.010,True,-0.050,0.015
